Structure_name,Enthalpy_grid_kjmol,Henry_coeff_molkgPa,time
APAZIC_clean_15,-19.5738,1.69979e-07,2.94387
AQETUM_clean_14,-17.9808,2.4316e-08,0.299427
AQMAND01_clean_2,-10.9391,9.41421e-10,0.0794954
AQMAND_clean_2,-9.33362,8.21937e-10,0.0750576
AQIXUU_clean_2,-34.522,5.434e-08,0.220097
AQODOA_clean_14,-23.5538,2.2783e-09,0.142286
AQEGUY_clean_2,-25.0959,8.70695e-08,1.71221
AQOTIK_clean_123,-23.1974,7.83673e-08,0.067319
AQIQIC_clean_15,-23.9232,6.92015e-08,0.768258
ANUGOG_clean_15,-15.2708,2.56856e-07,5.06828
AQOMAW_clean_221,-17.5454,1.32569e-07,0.738758
AQOLOJ_clean_221,-19.6252,2.23855e-07,0.793371
AQUDAT_clean_15,-29.1248,1.16508e-08,0.20173
AQERUL_clean_135,-36.3535,1.35298e-07,1.86253
AQUDEX_clean_15,-29.2185,1.29373e-08,0.20271
AQUDOH_clean_15,-29.1251,1.26741e-08,0.194981
AQOLEZ_clean_123,-16.6483,1.97508e-07,1.52723
AQIQAU_clean_15,-18.5653,1.61387e-07,2.37729
ARAFEF_clean_24,-17.9026,1.68257e-07,0.593118
ARAFOP_clean_24,-22.9755,7.49754e-08,0.288909
ARAFIJ_clean_24,-19.6027,1.38709e-07,0.464514
AQUCOF_clean_7,-16.955,1.02309e-07,2.07586
ARAHIM01_clean_87,-14.2061,9.11434e-10,0.0896186
ARAHIM02_clean_140,-15.455,1.25126e-09,0.087106
ARADEE_clean_15,-19.9109,1.13817e-07,1.16853
ARAHIM_clean_87,-15.3323,1.2204e-09,0.0845712
ARIBOS_clean_14,-3.60201,1.06438e-10,0.135259
AQUDAS_clean_7,-16.9205,1.0313e-07,2.07133
ARINOF_clean_2,-27.2251,4.48914e-08,0.302386
ARINUL_clean_117,-28.2229,4.54439e-08,0.374077
AQOSEG_clean_88,-19.4712,1.0584e-07,3.00609
ARAGOR_clean_15,-21.4317,9.05008e-08,0.975037
ARUCUN_clean_2,-28.2436,8.03887e-08,0.504276
ARUDAU_clean_2,-27.8361,8.66777e-08,0.546313
ARUCOH01_clean_14,-27.5033,8.58761e-08,0.83171
ARUYES_14,151.789,1.16866e-22,0.17114
ARUJED_clean_14,-28.1257,1.48851e-08,0.470184
AMODUC_clean_1,-15.2107,2.61765e-07,13.6211
ARUYUH01_clean_56,-22.3814,4.29813e-08,0.228673
AQUCOG_clean_2,-16.3467,1.14269e-07,3.62772
ARUYUH_clean_56,-22.2812,3.26678e-08,0.200277
ARUYOB_clean_14,-22.5285,3.41552e-08,0.341933
AQUCUM_clean_2,-16.3686,1.1616e-07,3.66315
AQIXUV_clean_2,-17.7997,8.16575e-08,4.44124
ASALAH_clean_19,-29.4193,2.5607e-08,0.120361
ASALIP_clean_19,-30.8485,1.24169e-08,0.0968478
ASACON_clean_52,-22.4835,4.8803e-08,0.423995
ARUYES_clean_14,-23.6611,8.26611e-08,0.794852
ASAJOU_clean_12,-27.1931,4.53772e-08,0.347641
ASALOV_clean_9,-30.3076,3.73239e-08,0.278991
ASEJOZ01_clean_15,-21.4068,1.71451e-08,0.271876
AQUDIB_clean_2,-16.3136,1.12805e-07,3.60362
ASEJOZ_clean_15,-21.4532,1.69501e-08,0.277802
ASEKAM_clean_15,-22.3556,5.87901e-08,0.300725
AROFET_clean_2,-17.8238,1.52683e-07,2.4375
ASANAL_clean_14,-27.7009,8.14554e-08,1.01041
ASIRUR_clean_14,-14.8949,9.01469e-10,0.108203
AMUWIP_charged_34,-17.4482,1.70973e-07,14.2525
ASADAA_clean_2,-22.6638,5.93221e-08,1.45812
ASOHUL_clean_62,-18.3472,9.43262e-08,0.208306
ASAMUE_clean_61,-21.4797,1.67019e-08,1.34309
ANUGIA_clean_1,-14.8026,2.63523e-07,11.0232
ASIQEA_clean_86,-18.5618,1.09924e-07,0.999758
ASIQIE_clean_86,-18.4906,1.11666e-07,1.02969
ASUJIJ_clean_14,-25.9476,3.13921e-08,0.62859
AROFAP_clean_1,-24.5686,1.14364e-07,3.68845
ASECUY_clean_15,-20.7722,6.49445e-08,2.04896
ASUBIB_clean_2,-22.8009,8.16492e-08,0.989101
ASOVEL_clean_19,-22.6882,9.00226e-08,1.1543
ASUKEE01_clean_70,-28.8803,4.24326e-08,1.05889
ASUKEE_clean_70,-28.8,4.2881e-08,1.04397
ATEXII_clean_19,-28.1185,2.75359e-08,0.368914
ASAHEJ_clean_2,-16.1231,3.90954e-08,2.92706
ATEJOA_clean_2,-33.7615,6.07243e-08,0.4463
ATAFIK_clean_106,-19.6864,1.12766e-07,0.976681
ATIBAG_clean_14,-21.9925,2.5173e-08,0.245253
ATIBIO_clean_14,-18.4927,2.24155e-08,0.274097
ATIBOU01_clean_14,-21.4716,3.05798e-08,0.310732
ATIBOU02_clean_14,-21.4149,3.07215e-08,0.315498
ATIBOU_clean_14,-21.9904,2.51498e-08,0.241332
ATIBUA_clean_14,-22.2699,2.35323e-08,0.274723
ATICAH_clean_14,-21.4737,2.96661e-08,0.280688
ASUWUI_clean_2,-21.6544,6.45698e-08,2.48075
ATICEL_clean_14,-21.4748,2.72733e-08,0.24761
ATIRUS_clean_15,-18.9313,6.42986e-09,0.168641
ATEYED_clean_15,-15.9758,2.96163e-07,2.00263
ATIXUX_clean_68,-25.7234,5.26283e-08,0.365731
ASEXED_clean_2,-27.7476,1.9979e-07,4.74924
ASOSUY_clean_6,-20.3108,1.6677e-07,4.09643
ANUGEW_clean_2,-13.0531,3.21828e-07,15.289
ATOGEV_clean_14,-21.1767,5.29703e-08,0.404403
ATIXAE_clean_14,-19.9314,9.10192e-08,1.42563
ATOTIM_clean_63,-17.3151,1.41986e-07,0.948071
ATOTIM_manual_63,-17.3151,1.41986e-07,0.959683
ATOWOW_clean_12,-17.4709,1.52488e-07,1.01397
ATOXEN_clean_2,-27.1742,2.83504e-08,0.452688
ATOWIQ_clean_12,-17.5953,1.52418e-07,1.09628
ATULIM_clean_32,-28.5798,3.88736e-08,0.274915
ATUXUK_clean_2,-24.9114,1.79335e-08,0.440837
ATUXOE_clean_2,-24.7841,1.91519e-08,0.496759
ATUYAR_clean_2,-24.8954,1.87832e-08,0.462932
ATUXIY_clean_15,-23.6631,7.31464e-08,0.876823
AVALEO_clean_15,-14.071,4.33125e-10,0.237954
AVAGIP_clean_88,-24.0693,3.65923e-08,0.845947
AVAGUB_clean_86,-22.2481,3.42341e-08,0.591382
AVAQIX01_clean_61,-27.1769,7.88666e-08,0.487936
AVAGOV_clean_88,-24.2939,3.93751e-08,0.824001
AVAQIX_clean_61,-26.8109,8.18579e-08,0.528425
AVEMOE_clean_33,-25.2281,8.29898e-09,0.143433
ASOYOY_clean_80,-18.3937,1.53706e-07,6.62193
AVEHAM_clean_14,-26.8655,3.19896e-08,0.517216
AVEROJ_clean_4,-19.3676,6.6379e-08,0.48741
AVESAW_clean_1,-27.5643,1.03988e-08,0.598103
AVELOD_clean_118,-19.5419,1.19546e-07,1.39321
AVEMAQ_clean_118,-19.8238,1.13426e-07,1.2771
AVELUJ_clean_118,-19.6985,1.21331e-07,1.37154
ASINAT_clean_2,-17.1869,1.84225e-07,8.55753
AVEVEE_clean_2,-23.0568,2.83826e-08,0.288384
ATEZAC_clean_15,-16.3909,2.25946e-07,6.86896
ATEZEG_clean_15,-18.2321,2.22586e-07,6.90601
AVIHOE_clean_91,-21.0285,8.43405e-08,0.300315
AVESOL_clean_14,-21.4382,1.65239e-07,1.50926
AVETAY_clean_122,-22.994,1.08809e-07,1.05714
AVIHIY_clean_78,-20.8089,8.54454e-08,0.536003
AVETEC_clean_122,-23.0177,9.86992e-08,1.07671
AVIMIC_clean_15,-23.5229,3.65321e-08,0.466658
AVEQID_clean_14,-17.8833,1.99257e-07,2.30882
ATEZIK_clean_15,-17.4173,2.23633e-07,7.38118
AVETOM_clean_68,-29.0185,2.42716e-08,1.27874
AVIPOL_clean_14,-20.6788,1.34755e-07,0.706256
ATIJUJ_clean5b_1,-12.703,1.30645e-07,6.80935
AVESUR_clean_56,-20.6426,1.16712e-07,2.25286
AVIMUO_clean_14,-23.9448,5.52284e-08,0.949721
ATIJUJ_manual_1,-12.703,1.30645e-07,6.77909
AVIMOI_clean_14,-24.897,8.45541e-08,1.16999
AVUHIJ_clean_14,-26.249,5.99934e-09,0.374071
AVUBUP_clean_5,-24.5021,7.8716e-09,0.64377
AVUJIL_clean_14,-8.5986,2.65291e-10,0.0820563
AVUPIR_SL_2,-20.508,2.64175e-09,0.0965801
AVUPIR_clean_h_1,-23.842,2.11178e-08,0.307067
AVIPAX_clean_14,-20.1656,1.42331e-07,2.04774
AVUDAX_clean_14,-21.7702,8.66928e-08,1.53594
AVIVIK_clean_141,-17.2372,1.56594e-07,2.44435
AVITUU_clean_141,-17.3835,1.62244e-07,2.67109
AVIVEG_clean_141,-17.0321,1.58281e-07,2.60179
AVIVAC_clean_141,-16.9947,1.56173e-07,2.63845
AVIVOQ_clean_141,-17.1309,1.66825e-07,2.50592
AWAGOV_clean_85,-22.5667,5.99018e-08,1.28155
AVIVUW_clean_141,-17.0249,1.5682e-07,2.51685
AWAJIT_clean_15,-29.505,5.28334e-08,0.584926
AWAGEL_clean_13,-19.0862,1.03492e-07,1.72949
AWAKEQ_clean_14,-23.8103,4.10625e-08,0.790713
AWASAU_clean_14,-22.8278,2.24904e-08,0.749597
AWEBIO_charged_14,-25.4614,1.75436e-09,0.372276
AWAREV_clean_15,-26.9427,3.32751e-08,0.904848
AWARIZ_clean_15,-26.9776,3.33157e-08,0.927361
AWEDUC_charged_17,-27.3312,1.88443e-08,0.441469
ATAYAX_clean_1,-17.4988,1.87881e-07,12.2091
ATAYEB_clean_1,-17.7986,1.77624e-07,12.2448
AWEGEP_clean_62,-18.8435,2.83546e-08,0.898299
AWIBAL_clean_2,-26.2451,5.62006e-08,0.264868
AWEDOW_charged_52,-20.5465,6.49062e-08,1.90763
AWEWOP_clean_12,-19.5016,1.18673e-07,2.01554
AWEJIW_clean_2,-20.1954,9.75692e-08,2.42113
AWOFOI_clean_14,-20.8742,8.66734e-08,0.375146
AWAHEM_clean_1,-16.4381,3.83524e-08,3.81433
AWOKED_clean_14,-27.1128,8.15202e-09,0.172781
AWEZOS01_clean_15,-24.1636,1.10818e-08,2.38834
AXAQAT_clean_8,-17.9754,2.29845e-09,0.0539531
AXAWUT_clean_60,-21.6698,8.18019e-09,0.149395
