,Structures,unique_chemcomp,G_2080,G_0,G_Xe_900K,G_Kr_900K,G_900K,delta_G0_298_900,delta_H0_Xe_298_900,delta_TS0_298_900,enthalpy_std_xenon,enthalpy_std_krypton,enthalpy_skew,enthalpy_modality,mean_grid_xenon,mean_grid_krypton,std_grid_xenon,std_grid_krypton,ASA_m2/cm3_1.2,delta_VF_18_20,PO_VF_2.0,D_i_vdw_uff298,delta_pore,D_f_vdw_uff298,pore_dist_mean,pore_dist_std,pore_dist_skewness,pore_dist_kurtosis,pore_dist_neff,pore_dist_modality,C%,O%,N%
3327,ja907023c_si_003_clean,H744C930N186O186Co1,-4.9524757147682195,-4.8293893432979305,-10.314991890066604,-7.200630969007259,-3.1143609210593457,1.7150284222385848,-0.5482999999999976,0.14282842223858427,3.83879,3.10158,0.335125,0.4557783227854585,4.30949,5.00141,48.0786,28.884,2726.2,0.01640000000000008,0.6198999999999999,9.86715,0.3045709860935517,5.62089,9.562579013906449,0.6715948326415907,-3.837092853016757,19.645990905324517,1.8653380040247447,0.8003302881714611,45.43234000977039,9.08646800195408,9.08646800195408
3328,JEYXOB_clean,H51C153O459P51Fe2,-2.99882678638832,-2.914388586851696,6.089483550306801,4.612176217198714,1.4773073331080875,4.391695919959783,-0.5964000000000027,3.233495919959786,2.64909,2.22979,1.44078,0.47639836820796533,32.3245,25.4092,73.4015,40.9157,1714.86,0.06990000000000002,0.1876,4.62698,0.053646666666667286,3.14794,4.573333333333332,0.0966927864398111,-3.9517233329834274,18.626925728850424,1.1917268548916613,0.892048293010031,21.36871508379888,64.10614525139664,0.0
3329,JEWYAM_charged,H248C744N992O124Cl31Mn4,-4.6987358690652785,-4.729175304152233,-8.169640607891361,-5.956935987330934,-2.2127046205604275,2.5164706835918054,3.5685000000000002,-0.6430293164081942,4.53009,4.17911,0.932346,0.4924533142200784,2.79002,3.72516,37.9201,24.0586,1541.27,0.014000000000000012,0.6402,16.36032,0.46370028169014077,6.75937,15.89661971830986,1.285954398313084,-5.348508953383857,39.08179425177838,1.525310901994009,0.7575534488946873,34.71768548763416,5.786280914605693,46.29024731684554
3331,JAHXUM_clean,H7C434O217Gd31,-5.259236733477944,-5.409735652586424,-7.596502302059516,-4.50175957994919,-3.0947427221103263,2.314992930476098,0.6072999999999986,0.8563929304760975,3.98992,3.47343,0.656197,0.5101431739860214,9.86695,10.3075,57.4828,35.1805,2502.56,0.031200000000000006,0.388,8.12809,0.9685605882352952,3.27595,7.159529411764705,1.376973583310496,-1.061037493663714,2.3867844836649303,3.9575162682675664,0.8906545930347212,62.98984034833091,31.49492017416545,0.0
3332,JILXOS_clean,H9C434N155O31Cu62,-4.515264146050538,-5.075193981370602,0.65719675090314,1.4346963579554495,-0.7774996070523095,4.297694374318293,-0.5977999999999994,2.694294374318292,2.67735,1.98985,1.42614,0.4832727703627243,22.186,17.6755,67.9784,41.0711,1093.56,0.04150000000000001,0.1124,4.70423,0.1581625842696628,4.15584,4.546067415730337,0.1102154985892481,-0.177201787144109,1.6465339100907714,3.3267534649307016,0.6264070645895208,62.807525325615046,4.486251808972503,22.43125904486252
3333,j.inoche.2015.01.025_INC05862-mmc1_clean,H5C186N124O62Zn31,-8.727317905000781,-9.41187802508554,-7.880804910063582,-2.169274384487361,-5.7115305255762205,3.70034749950932,-1.3813999999999993,2.69734749950932,2.52597,2.11627,1.15847,0.38879149341044805,18.3629,18.8119,73.8052,43.8726,1412.78,0.015499999999999986,0.1927,5.59019,0.14479122699386515,2.97714,5.445398773006135,0.2350309871197199,-5.173146250633875,30.65300865887144,1.2571090607996216,0.9056677743903203,45.588235294117645,15.196078431372548,30.392156862745097
3335,JEJWIF_clean,H1240C2108N124O496Co3,-5.508781540564944,-5.309817308520193,-10.05111719610997,-6.537395942265404,-3.513721253844566,1.796096054675627,-1.5671,0.9582960546756292,2.94027,2.69638,0.756123,0.41394983555725867,4.61059,5.81375,49.3666,30.6623,2672.88,0.01090000000000002,0.5259,7.60606,0.5501922314049601,5.08775,7.05586776859504,0.6908991260303967,-1.329791868252073,4.85415664531601,3.830997561307474,0.5703043010654876,53.084865273230925,12.490556534877864,3.122639133719466
3336,ja907023c_si_002_clean,H744C930N186O186Co1,-4.871845529410852,-4.758226589511892,-10.151501920609242,-7.110786274208751,-3.040715646400491,1.7175109431114013,-0.5456000000000003,0.1342109431114018,3.87307,3.1098,0.304913,0.4578736762247283,4.60797,5.02013,48.1424,28.7744,2733.72,0.014399999999999968,0.6152,9.91167,0.323571681759379,5.56648,9.588098318240622,0.6618709071317395,-3.891505499764949,20.738197357879027,3.086936306291878,0.7784579718336683,45.43234000977039,9.08646800195408,9.08646800195408
3338,ja907023c_si_001_clean,H744C930N186O186Co1,-4.898944066814587,-4.777911391492464,-10.1980786300927,-7.124968127021066,-3.073110503071635,1.704800888420829,-0.5706000000000024,0.14740088842083132,3.84622,3.10071,0.311087,0.4510470885948462,4.5507,4.97194,48.3606,28.7673,2737.98,0.013800000000000034,0.6131,9.9067,0.33573645833333465,5.59318,9.570963541666666,0.667319817069839,-4.002700963226694,22.249737173606672,2.9033629991336536,0.7650254413435261,45.43234000977039,9.08646800195408,9.08646800195408
3339,j.inoche.2015.06.036_inc06102-mmc1_clean,H3C372N155O217Ce31,-5.505771153355038,-6.634922582295038,-0.21708436582365329,2.095014109545088,-2.3120984753687415,4.322824106926297,-0.31750000000000256,3.4037241069262967,2.69871,2.50801,1.40572,0.4554697901751143,21.2467,17.9762,66.6975,39.9467,606.887,0.0398,0.1099,4.95047,0.11189857142857118,3.62971,4.838571428571429,0.0989846411504002,-1.272371031772661,3.1175592584010574,1.9710378117457763,0.8400571810902576,47.814910025706936,27.89203084832905,19.92287917737789
